"","ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"173",93429,2,2020,"Elec- Commercial","Y",0,0,NA
"174",93429,3,2020,"Elec- Commercial","Y",0,0,NA
"175",93430,1,2020,"Elec- Commercial","Y",0,0,NA
"176",93430,2,2020,"Elec- Commercial","Y",0,0,NA
"177",93430,3,2020,"Elec- Commercial","Y",0,0,NA
"178",93432,1,2020,"Elec- Commercial","N",101,183340,1815
"179",93432,2,2020,"Elec- Commercial","Y",0,0,NA
"180",93432,3,2020,"Elec- Commercial","Y",0,0,NA
"181",93433,1,2020,"Elec- Commercial","Y",766,2083974,2721
"182",93433,2,2020,"Elec- Commercial","Y",763,1948517,2554
"183",93433,3,2020,"Elec- Commercial","Y",761,1900957,2498
"184",93434,1,2020,"Elec- Commercial","Y",0,0,NA
"185",93434,2,2020,"Elec- Commercial","Y",0,0,NA
"186",93434,3,2020,"Elec- Commercial","Y",0,0,NA
"187",93435,1,2020,"Elec- Commercial","Y",0,0,NA
"188",93435,2,2020,"Elec- Commercial","Y",0,0,NA
"189",93435,3,2020,"Elec- Commercial","Y",0,0,NA
"190",93436,1,2020,"Elec- Commercial","Y",0,0,NA
"191",93436,2,2020,"Elec- Commercial","Y",242,802397,3316
"192",93436,3,2020,"Elec- Commercial","Y",240,663241,2764
"193",93437,1,2020,"Elec- Commercial","Y",0,0,NA
"194",93437,2,2020,"Elec- Commercial","Y",0,0,NA
"195",93437,3,2020,"Elec- Commercial","Y",0,0,NA
"196",93440,1,2020,"Elec- Commercial","N",99,299134,3022
"197",93440,2,2020,"Elec- Commercial","N",99,283538,2864
"198",93440,3,2020,"Elec- Commercial","N",99,278640,2815
"199",93441,1,2020,"Elec- Commercial","Y",0,0,NA
"200",93441,2,2020,"Elec- Commercial","Y",0,0,NA
"201",93441,3,2020,"Elec- Commercial","Y",0,0,NA
"202",93442,1,2020,"Elec- Commercial","N",622,1954437,3142
"203",93442,2,2020,"Elec- Commercial","N",624,1783098,2858
"204",93442,3,2020,"Elec- Commercial","N",623,1675657,2690
"205",93444,1,2020,"Elec- Commercial","N",447,1518307,3397
"206",93444,2,2020,"Elec- Commercial","N",447,1507716,3373
"207",93444,3,2020,"Elec- Commercial","N",449,1404395,3128
"208",93445,1,2020,"Elec- Commercial","Y",0,0,NA
"209",93445,2,2020,"Elec- Commercial","Y",0,0,NA
"210",93445,3,2020,"Elec- Commercial","Y",0,0,NA
"211",93446,1,2020,"Elec- Commercial","Y",2481,13868495,5590
"212",93446,2,2020,"Elec- Commercial","Y",2485,12453835,5012
"213",93446,3,2020,"Elec- Commercial","Y",2481,12162673,4902
"214",93449,1,2020,"Elec- Commercial","N",481,2832604,5889
"215",93449,2,2020,"Elec- Commercial","N",481,2607843,5422
"216",93449,3,2020,"Elec- Commercial","N",479,2333173,4871
"217",93450,1,2020,"Elec- Commercial","Y",0,0,NA
"218",93450,2,2020,"Elec- Commercial","Y",0,0,NA
"219",93450,3,2020,"Elec- Commercial","Y",0,0,NA
"220",93451,1,2020,"Elec- Commercial","Y",0,0,NA
"221",93451,2,2020,"Elec- Commercial","Y",0,0,NA
"222",93451,3,2020,"Elec- Commercial","Y",0,0,NA
"223",93452,1,2020,"Elec- Commercial","Y",0,0,NA
"224",93452,2,2020,"Elec- Commercial","Y",0,0,NA
